ticker_symbol,text,created_at,compound
AMZN,"I got you @jimcramer @MadMoneyOnCNBC the acronym for the key to the market is VACCINE #JimmyChill 

$VIAC $AMZN (or $ATVI)  $CMG $C $IBM $NFLX $EA",2020-04-14 20:21:59+00:00,0
AMZN,"RT @ReformedBroker: $AMZN new record high, up 21% YTD",2020-04-14 20:21:35+00:00,0
AMZN,"@WaitCapital If Mnuchin really is behind this, wait till his boss hears what he did to $AMZN",2020-04-14 20:18:26+00:00,0
AMZN,via CP_WWU: Common sense 101: Don’t bash the company you work for on social media. One way or another you’ll be looking for a new job. $amzn,2020-04-14 20:16:41+00:00,0
AMZN,$AMZN against trendline resistance extending from 2015 that we couldn’t get over in May or July of 2019 👀👀,2020-04-14 20:16:17+00:00,0
AMZN,"Apr 14: S&amp;P 500 Index closes UP 3%, NASDAQ Comp +4%; Q1 Earnings LIVE Webcasts April 15: $BAC Bank of America $C Citigroup $GS Goldman Sachs $UNH UnitedHealth https://t.co/vHr4MsvSaA $SPY #SPX $AMZN #NASDAQ #stocks #COVID19 #StockMarket #economy #investors #investing https://t.co/acd7aC6KgE",2020-04-14 20:15:08+00:00,0
AMZN,@RevShark $AMZN will be the only solvent retailer in the US,2020-04-14 20:12:13+00:00,0
AMZN,$CJT.TO $ATSG $AAWW $PACK $ITP.TO $AMZN https://t.co/yqs5n5lnSJ,2020-04-14 20:11:28+00:00,0
AMZN,@fundmyfund @ManuOrtizOlave per my AmEx bill can confirm $AMZN in making a fortune.,2020-04-14 20:09:50+00:00,0
AMZN,RT @WinstonBaker: Introducing Quibi -- What Does It Mean for the Future of Streaming? @themotleyfool #stocks $T $DIS $NFLX $AMZN $SNE $CMCS…,2020-04-14 20:08:18+00:00,0
AMZN,@jimcramer $AMZN all time high,2020-04-14 20:08:10+00:00,0
AMZN,"$AMZN 5,28% 2283,3 con max 52w 2292",2020-04-14 20:07:03+00:00,0
AMZN,"RT @quake001: How about $AMZN 330% $GOOGL 320% $MSFT 80% $SPY 100% $TSLA 100% today plus over 1000% on swing, and few more names such as $S…",2020-04-14 20:05:14+00:00,0
AMZN,Soo $AMZN gap up tomorrow then fade? Thats where my $ is.,2020-04-14 20:05:03+00:00,0
AMZN,RT @livetradepro: $AMZN Mega breakout to new ATH today!,2020-04-14 20:04:55+00:00,0
AMZN,"RT @quake001: How about $AMZN 330% $GOOGL 320% $MSFT 80% $SPY 100% $TSLA 100% today plus over 1000% on swing, and few more names such as $S…",2020-04-14 20:04:30+00:00,0
AMZN,I took 55% on those $AMZN 2000p -,2020-04-14 19:59:00+00:00,0
AMZN,"RT @seekerweb: @KYRRadio I am already out of my $amzn calls, august call went from 13 to 72 dollars. And Jan from 26 to 100 in 2 weeks. But…",2020-04-14 19:58:26+00:00,0
AMZN,"RT @ReformedBroker: $AMZN new record high, up 21% YTD",2020-04-14 19:54:19+00:00,0
AMZN,@no_pullbacks Did the Fed initiate a mandate to buy $AMZN with Fink following them?  What a move there.,2020-04-14 19:54:06+00:00,0
AMZN,"RT @quake001: How about $AMZN 330% $GOOGL 320% $MSFT 80% $SPY 100% $TSLA 100% today plus over 1000% on swing, and few more names such as $S…",2020-04-14 19:52:20+00:00,0
